,total_cases,total_deaths,total_recovered,active_cases,total_tests,population,country,td/tc,td/tr,continent
0,91942744,1051235,87107075,3784434,1062672363,331002651,USA,0.011433583056864172,0.9474056484544338,North America
1,43847065,525930,43171653,149482,871656205,1407791774,India,0.011994645479691743,0.9845961867687153,Asia
2,33506282,676551,31846441,983290,63776166,215653799,Brazil,0.02019176583065826,0.9504617969848161,South America
3,33339350,151237,31057688,2130425,271490188,65569260,France,0.004536291199438502,0.9315624929700189,Europe
4,30239122,143061,28203900,1892161,122332384,84332524,Germany,0.0047309905360347435,0.9326957310466885,Europe
5,23212565,182727,22454371,575467,522526476,68616286,UK,0.007871900412556735,0.9673369142962012,Europe
6,20467349,170527,18841001,1455821,234264775,60279812,Italy,0.008331660343506138,0.9205393917893324,Europe
7,19077659,24825,18371070,681764,15804065,51359526,S. Korea,0.0013012602856566416,0.9629624892655855,Asia
8,18517779,382080,17929059,206640,273400000,331002651,Russia,0.02063314396397106,0.9682078504122984,Europe
9,15524071,99184,15221506,203381,162743369,86197768,Turkey,0.006389045759968503,0.980509944846297,Asia
10,13132159,109642,12453757,568760,471036328,46791856,Spain,0.008349122181661065,0.948340406173882,Europe
11,10785505,31735,9787072,966698,60065262,125683870,Japan,0.0029423749745607648,0.9074282567204781,Asia
12,10764986,43091,9837645,884250,85826548,99132274,Vietnam,0.0040028849085358776,0.9138558099378856,Asia
13,9465827,129202,9249607,87018,35716069,46045152,Argentina,0.013649309246830731,0.9771578331190713,South America
14,9020385,11032,8593214,416139,75591502,26105850,Australia,0.0012230076654156114,0.9526438173093499,Australia/Oceania
15,8301277,22450,8114821,164006,21107399,17212504,Netherlands,0.002704403190015223,0.9775388774522281,Europe
16,7304550,141593,7071005,91952,52690831,86194829,Iran,0.019384219424879015,0.9680274623351199,Asia
17,6556679,326879,5623127,606673,17361633,131707128,Mexico,0.04985435462068526,0.8576181630975072,North America
18,6247634,140603,6053853,53178,35889624,51993654,Colombia,0.02250499949260792,0.968983298317411,South America
19,6159328,156893,5964196,38239,102675218,279447364,Indonesia,0.025472421666779235,0.968319271193221,Asia
20,6041891,116492,5335797,589602,36585593,37761748,Poland,0.019280718569732555,0.883133608335536,Europe
21,5312553,24513,5082282,205758,43527258,10135846,Portugal,0.004614165731617171,0.95665530301533,Europe
22,5020181,108690,4909329,2162,19521252,43195994,Ukraine,0.021650613792610265,0.9779187244443975,Europe
23,4658125,18987,4510463,128675,192634445,9111635,Austria,0.00407610358245002,0.9683001207567422,Europe
24,4640235,35888,4556938,47409,61978267,33215327,Malaysia,0.007734091053578106,0.9820489695026222,Asia
25,4570885,31101,4515759,24025,17270775,70158616,Thailand,0.006804152806294624,0.98793975346131,Asia
26,4537907,11209,4457705,68993,41373364,9326000,Israel,0.002470081471480134,0.9823262133842761,Asia
27,4386289,8478,3829369,548442,22289912,23905041,Taiwan,0.0019328411784996383,0.873031621947391,Asia
28,4381331,32118,4174671,174542,34887878,11692911,Belgium,0.007330649065318279,0.9528316851659918,Europe
29,4210771,30707,3614441,565623,87638663,10318843,Greece,0.007292488715249535,0.8583798549006821,Europe
30,4161478,59216,3846891,255371,41539472,19452264,Chile,0.014229559786210572,0.9244049830372767,South America
31,4012359,43583,3695850,272926,62586673,38419880,Canada,0.010862188552918619,0.9211164803548236,North America
32,4001816,101942,3893872,6002,25913254,60840210,South Africa,0.02547393483358555,0.9730262460842778,Africa
33,3964280,40380,3905474,18426,55672067,10749661,Czechia,0.010185960628411716,0.9851660326717588,Europe
34,3893084,14024,3697062,181998,21598881,8784242,Switzerland,0.003602285488830963,0.949648659006587,Europe
35,3801893,213918,3448767,139208,32548901,33912567,Peru,0.0562661810840021,0.9071183749779386,South America
36,3741987,60641,3659139,22207,31245239,112568274,Philippines,0.01620556137688346,0.9778598910151212,Asia
37,3049890,6581,3019074,24235,127888446,5833970,Denmark,0.0021577827397053664,0.9898960290371128,Europe
38,2996178,65846,2861348,68984,23851154,18975038,Romania,0.02197666493779742,0.954999335820502,Europe
39,2533978,19216,2495909,18853,18731976,10228229,Sweden,0.00758333339910607,0.9849765862213484,Europe
40,2421716,25280,2360420,36016,18985439,42071080,Iraq,0.010438878877622314,0.9746890221644486,Asia
41,2072089,16193,2015735,40161,10094224,8665330,Serbia,0.007814818765024089,0.9728032917504992,Europe
42,2000279,29256,1931494,39529,14538033,168049768,Bangladesh,0.014625959678624833,0.9656122970845568,Asia
43,1951079,46736,1883085,21258,11394556,9610135,Hungary,0.023953924982022767,0.9651505654050913,Europe
44,1810418,20193,1779575,10650,7210437,5465057,Slovakia,0.011153777746354709,0.9829636028806608,Europe
45,1700526,14068,1685354,1104,16894012,10410584,Jordan,0.008272734436286185,0.9910780546724954,Asia
46,1667453,16847,1637293,13313,16920079,3973491,Georgia,0.010103433200216137,0.9819125336666161,Asia
47,1636109,1466,1528441,106202,24107231,5944571,Singapore,0.0008960283208514836,0.9341926485338079,Asia
48,1628745,7537,1569062,52146,12508154,5050752,Ireland,0.00462748926320572,0.9633564492907115,Europe
49,1549589,1890,1482919,64780,7354369,5002100,New Zealand,0.0012196782501682705,0.9569756883922124,Australia/Oceania
50,1549073,30462,1507935,10676,29379709,229676994,Pakistan,0.01966466396354465,0.9734434723218338,Asia
51,1453985,3596,1445611,4778,11002430,5508057,Norway,0.002473202956013989,0.9942406558527083,Europe
52,1326190,13664,1298633,13893,11575012,19236704,Kazakhstan,0.010303199390735868,0.9792209261116431,Asia
53,1309208,9448,1212360,87400,50415048,7621546,Hong Kong,0.007216576739524964,0.9260255054964528,Asia
54,1255681,16204,1228339,11138,12148796,37806598,Morocco,0.012904551394820819,0.9782253613776111,Africa
55,1192284,37319,1138566,16399,10207607,6841397,Bulgaria,0.03130042842141637,0.9549452982678623,Europe
56,1173374,16188,1146221,10965,5012871,4053451,Croatia,0.013796112748364972,0.9768590406809764,Europe
57,1171034,5012,1128585,37437,11129795,5558344,Finland,0.004279978207293725,0.9637508390021127,Europe
58,1150424,10499,1087587,52338,4795578,6762880,Lebanon,0.009126200426973012,0.9453792688608722,Asia
59,1107100,8529,1098175,396,13997964,11312462,Cuba,0.007703911119140096,0.9919383976153916,North America
60,1078344,9197,1038300,30847,10039212,2644585,Lithuania,0.008528818262075924,0.9628652823217823,Europe
61,1067317,6673,1039799,20845,2696528,2079523,Slovenia,0.006252125657138413,0.9742175942105298,Europe
62,1004311,18881,910145,75285,5209636,18594330,Guatemala,0.018799953400888768,0.9062382070892383,North America
63,994037,7118,985592,1327,13646641,9442959,Belarus,0.007160699249625517,0.9915043403816961,Europe
64,991680,22007,912600,57073,2705422,11999143,Bolivia,0.022191634398192966,0.9202565343659245,South America
65,982719,11954,968228,2537,5793443,30210139,Nepal,0.012164209707963313,0.9852541774403466,Asia
66,980325,2330,959996,17999,175375697,10135147,UAE,0.0023767628082523654,0.9792629995154668,Asia
67,967808,7387,958402,2019,6114822,3498382,Uruguay,0.007632712273508795,0.9902811301415156,South America
68,946487,35786,879893,30808,2470170,18191766,Ecuador,0.03780928845298456,0.9296408719823939,South America
69,942083,8395,922313,11375,6695106,4453881,Panama,0.008911104435596439,0.97901458788663,North America
70,904934,8525,860711,35698,4659757,5189387,Costa Rica,0.009420576528232999,0.9511312427204636,North America
71,852683,5879,833977,12827,7385672,1843529,Latvia,0.006894707646335156,0.9780621872372265,Europe
72,806401,9236,789766,7399,43762431,35924323,Saudi Arabia,0.01145335881279909,0.9793713053431233,Asia
73,795495,9729,784356,1410,7011596,10326345,Azerbaijan,0.012230120868138706,0.9859973978466238,Asia
74,688820,19083,647415,22322,2646163,7311980,Paraguay,0.027703899422200286,0.9398899567376092,South America
75,664704,16535,647466,703,6486117,21597105,Sri Lanka,0.024875734161371076,0.9740666522241479,Asia
76,653447,1506,642249,9692,10134436,1822710,Bahrain,0.0023047010698648857,0.9828631855376182,Asia
77,648216,2556,641752,3908,8242720,4399926,Kuwait,0.0039431300677551925,0.9900280153529071,Asia
78,624167,4383,616402,3382,3566351,11070706,Dominican Republic,0.007022159133693386,0.9875594191939017,North America
79,613887,19434,592774,1679,8479903,55156791,Myanmar,0.03165729197718799,0.9656076769828975,Asia
80,592699,5360,582977,4362,3078533,5344293,Palestine,0.009043376148770287,0.983597070351055,Asia
81,584178,2612,524225,57341,3429748,1328362,Estonia,0.004471239930295219,0.8973720338663901,Europe
82,545896,1086,124370,420440,9477138,1225359,Cyprus,0.001989389920424403,0.22782727845596965,Asia
83,531657,5753,522054,3850,3359014,28271005,Venezuela,0.010820886398561479,0.9819376026272578,South America
84,520321,11567,504142,4612,3216305,4014770,Moldova,0.022230507705820062,0.968905733191626,Europe
85,515645,24613,442182,48850,3693367,106287529,Egypt,0.04773245158975652,0.8575318290684483,Africa
86,502642,6431,490973,5238,2477219,7062664,Libya,0.012794394419885327,0.9767846698047516,Africa
87,491508,7564,468421,15523,5115781,120795782,Ethiopia,0.015389373112950348,0.953028231483516,Africa
88,434796,10930,132498,291368,1429390,10227249,Honduras,0.025138225742647128,0.3047360141307648,North America
89,429237,825,418572,9840,1603660,908397,Réunion,0.0019220151105333418,0.9751535864801962,Africa
90,424400,8629,412661,3110,3109931,2974584,Armenia,0.020332233741753063,0.9723397737983035,Asia
91,399553,680,390408,8465,3714907,2807805,Qatar,0.0017019018753456987,0.9771119225734759,Asia
92,393002,4260,384669,4073,25000000,5372617,Oman,0.01083963949292879,0.9787965455646536,Asia
93,337085,5670,330261,1154,3804085,56197120,Kenya,0.016820683210466203,0.9797558479315306,Africa
94,328550,4013,323022,1515,3608029,19438407,Zambia,0.012214274844011566,0.9831745548622737,Africa
95,325181,2763,321815,603,2026898,2448875,Botswana,0.008496806393977508,0.9896488417219949,Africa
96,321386,9349,308199,3838,2088126,2083199,North Macedonia,0.029089630537733443,0.9589683433628098,Europe
97,301394,3521,288047,9826,1866752,2871364,Albania,0.011682382529181072,0.9557157740366431,Europe
98,274524,1102,259768,13654,4349750,646836,Luxembourg,0.00401422097885795,0.9462487797059638,Europe
99,266654,6875,178911,80868,230861,45472827,Algeria,0.02578247466754671,0.6709481200357017,Africa
